category,job_title,job_description,job_skill_set,group_labels
0,human resources information system partner iii,"job overview

are you a system setup expert with a human resources background and proven record of working effectively across multiple departments if so, marvin has the perfect opportunity for you. the human resources information systems partner iii plays a meaningful role within the hr department and is empowered to make creative enhancements and continuous improvements to our current hris systems. participate in hr system configuration and partner with multiple departments as a subject matter authority on both sophisticated hris setup and hr processes.

career growth, leadership training, and a culture built on family values are a few of the ways we support you professionally and personally. we invest in you from day one with an extensive benefits package, and a sign on bonus.

 highlights of your role 

build strong partnershipscollaboration with departments to translate information into business processsystem functionality that both aligns with the needs of the business and keeps the end user experience in mind. train, mentor, and acts as a technical resource for colleagues, leading production support for hr systems. collectassess customer feedback, provides support and conducts root cause analysis of system issues. configure hr systems for use enterprise wide, implementing process improvements and policy changes crafted to improve efficiency and the user experience with the system. recommend and implement processcustomer services improvements, innovative solutions, policy changes andor major variations from standard practice acquiring vital input and approvals. 

 youre a good fit if you have or if you can 

experience in ukg pro and ukg workforce management solution, business intelligence, and cognos reporting. solid understanding of the context of human resources role and function within the organization understanding of hr principles, processes, programs, practices and data. demonstrable ability to consult and transfer knowledge of critical hris skills. abil...","hris configuration, data analysis, process improvement, communication, collaboration, problem solving, mentoring, customer service, diplomacy, consulting, ukg pro, ukg workforce management, business intelligence, cognos reporting, technical support",0
0,human resources specialist,"group management services is looking for self motivated individual to step into our human resources specialist role based out of our richfield, oh headquarters.
as with all positions here at gms, we are looking for a driven individual with a customer service oriented mindset and a passion for developing strong relationships. if expanding your professional human resources career is your goal than this opportunity may be just what you are looking for
what are some expectations for this roleact as an hr point of contact for hundreds of small clients under  employeeshandle hr administrative tasks like onboarding troubleshooting, policy development, and job description creationprovide basic hr consulting services on employee issuessolve day-to-day issuesconcerns related to gms services while acting as a liaison between clients and other departments monitor and manage an incoming queue of client emails via shared inbox and manage and track tasks and actions within our crmmaintain clientgms relationship to attain client retention and satisfactionassist the hr account managers with higher level hr projects as neededperform reference checks, background checks, and drug screenings for client employeescandidateswhat are the qualifications for this rolebachelors degree b.a. from four-year college or university preferred- years related experienced preferredequivalent combination of education and experience is acceptedvalid drivers license required must be willing to travel  of the timewhats in it for youbase salary range between ,-,full medical, dental, vision, k with company match, life, and disability benefits packagetuition assistancethree weeks of pto with  paid holidayscompany surface pro or laptop providedmonthly cell phone reimbursement planopportunities for growthflexible scheduling and autonomy why gms
people dont necessarily buy what you do, they buy why you do it. gms is passionate about small businesses having started off as one back in  in richfield, oh with only a ...","hr administration, onboarding, policy development, bachelors degree, customer service, relationship building, problem solving, communication, self-motivation, teamwork, flexibility, autonomy, job description creation, hr consulting, crm management, reference checks, background checks, drug screenings, valid drivers license",0
0,human resources generalist,"company information

for more than  years, aeg has played a pivotal role in transforming sports and live entertainment. annually, we host more than  million guests, promote more than , shows and present more than , events around the world. we are committed to innovation, artistry, and community, and leverage the power of our + venues, leading sports franchises, marquee music brands, integrated entertainment districts, premier ticketing platform and global sponsorship activations, to create memorable moments that give the world reason to cheer.

our business is interwoven with the human mind and heart, and we strive to build a diverse and inclusive company that reflects the artists, athletes, and fans that we host reach beyond traditional boundaries to support the communities in which we operate and minimize our impact on the environment by adopting sustainable practices throughout our business operations.

if you want to be challenged to up your game and make a difference, then join us in giving the world reason to cheer

job summary

the human resources hr generalist is responsible for overseeing various areas of the hr life cycle. the individual will provide ongoing support to employees  managers in the areas of policy interpretation, onboarding, training, and acting as a resource to employees on hr-related matters. additionally, the individual will be able to make recommendations and develop strategies in alignment with the companys vision.

essential functions

manage the talent acquisition process in partnership with talent acquisition team at aeg corporate for designated employee population including posting of requisitions, managing the applicant flow process, and providing thoughtful recommendations to hiring managers consistent with our organizations hiring and dei strategies. direct the entire onboarding and new hire experience lifecycle beyond day one.lead and facilitate employee orientation and onboarding programs maintain and update onboarding collatera...","hris systems, microsoft office, data analysis, project management, onboarding, training development, conflict resolution, communication, problem solving, relationship building, organizational skills, critical thinking, independent thinking, attention to detail, employment law, customer service",0
0,human resources coordinator,"job title human resources coordinatorlocation new york, ny, duration + months contract

top  skills minimum of  years hr experience, experience with hr systemsteam uses successfactors but experience in workdaysap also works,workforce planning experience, thrive under pressure and able to multi task, attention to detail and accuracy, proactive, self motivated, advanced excelpowerpoint skillsgurus in excel,   other skillsnice to haves background or knowledge in finance, industry experiencemultinational company is a plus, experience with working with international teams, spanish speaking is a plus   deal breakers if they dont have experienced excel experience. will be doing v-look upsformulas etc   specific industry experience required very nice to have    job overview   key responsibilities   monitor and track day-to-day project activities, deliverables, and strategic initiatives to ensure timely completion.   collaborate with hr business partners, finance and compensation center of expertise coe to update transformation project budgets and financial measures.   assist in updating and managing hr planning forecasts and budgets alongside senior hr business partners, finance and compensation coe.   oversee budget control, planning processes, hiring procedures, and other hr-related activities.   coordinate annual compensation budgeting, working closely with hr business partners, finance and compensation coe.   maintain hiring requests and validate budgeting approvals with relevant stakeholders.   prepare internal communication reports as needed.   support hr staff in validating requests and ensuring accurate completion of internal processes.   qualifications and requirements   bachelors degree.   minimum of  years hr experience, preferably in a related industry multinational company experience is a plus.   background or knowledge in finance is advantageous.   ability to thrive under pressure and manage multiple tasks simultaneously.   strong attention to detail and accur...","hr experience, hr systems successfactors, workday, sap, workforce planning, advanced excel, powerpoint, budget control, financial measures, hiring procedures, internal communication reporting, analytical skills, ability to thrive under pressure, multi-tasking, attention to detail, proactive, self-motivated, flexible attitude, collaboration, communication, international teamwork, spanish speaking",0
0,director of human resources,"this nonprofit organization operates in approximately eight states and twenty cities the hr director must learn the child services programming and develop a strong partnership with the program deputies, the leadership council, the associate ceo, and presidentceo.client detailsw are an accredited non-profit, human services agency dedicated to family support and preservation, trauma-informed care, and serving vulnerable populations with unique needs. founded in  in auburn, ny, we have a long history of delivering high-quality and innovative services to individuals, children, youth and families. we have  locations across  states and serve over , individuals and families annually.descriptionoversee the daily operations of the hr team based in auburn, partnering with the deputy of human resources based in nycadminister, update, develop, and communicate personnel policies and procedures to staff, ensuring that staff understands best practices for progressive discipline, leave management, benefits and traininglead, coach and mentor hr generalists based in auburn and provide support to the hr team members in other subunitsoversee and manage employee relations, liaising with upstate new york, delaware, pittsburgh, dallas, chicago, los angeles and baltimoreconduct new-employee orientations monitor career-path program and employee relations counselingensure the agency complies with federal, state, and local legal requirements by studying existing and new legislation, anticipating legislation, enforcing adherence to requirements advising management on needed actionsassist with maintenance and work with the team to update employee handbook and standard operating procedures, partnering with the cqi and compliance teamserve as a liaison and provide employee relations advice and counseling to management and employeesprovide training to other department directors and supervisors in the areas of hiring, firing, documentation, evaluations, privacy, fmla, pfl, workplace safety, harassm...","human resources management, employee relations, compliance with labor laws, ms office, hris systems, training and development, policy development, recruitment strategies, data analysis, project management, communication, leadership, organizational skills, teamwork, problem solving, confidentiality, flexibility, mentoring, interpersonal skills, adaptability",0
0,human resources generalist,"
sigvaris is currently looking for a human resources generalist to join our hr team in peachtree city, ga. as a leading compression solution provider, we are not just a company that manufactures products. we are a global team on a mission to help people feel their best. under the guidance of the human resources director, the human resources generalist performs duties at the professional level in some or all of the following functional areas employee relations, training, employment, benefits management, safety and payroll functions. this position requires an extremely perceptive person who is capable of relating to individuals at all levels within the organization. the human resources generalist must be sensitive to corporate needs, employee goodwill and the business needs in order to meet established organizational goals and objectives.
duties and responsibilities  assists hiring manager in processing applications and pre-employment screenings.  participates in the new employee onboarding process.  monitors monthly employee eligibility for benefits plans.  ensures compliance with uscis form i- employment eligibility verification periodically audits forms i- to ensure compliance.  assists department in carrying out various human resources programs and procedures for all company employees. o answers outside inquiries for factual information, such as verification of dates of employment in response to telephone credit checks on employees. o sends out monthly safety training to all departments and ensures completion for all applicable employees. o regularly audits and ensures iso files are maintained and up to date. o provides basic personnel information to current and prospective employees. o gathers information in preparation for standard to complex reports. o assists in the coordination of other employment activities, i.e., open enrollments, employer sponsored events, employee communication meetings, audits, and any other hr projects. o provides administrative support...","employee relations, training, employment, benefits management, payroll functions, microsoft excel, microsoft word, budget management, reporting, pre-employment screening, onboarding, communication, problem solving, detail-oriented, multi-tasking, interpersonal skills, flexibility, teamwork, time management, customer service, compliance, hris software, microsoft outlook, iso standards, patience",0
0,human resources assistant,"thermal concepts is looking for a new hr assistant the ideal candidate will have some early career hr experience, with a friendly and easy-going personality. this position will sit at the administrative office front desk, so it will require some front desk reception duties as well greetings guests, answering phone calls, going through the mail.
responsibilitiesverify employment eligibility through the e-verify systemhandle job verifications for current and former employeesorganize and maintain physical and digital employee recordscreate and maintain employee personnel files physical + digitalfile and maintain important hr documentsassist in the onboarding process for new hirescoordinate and schedule job interviewscoordinate logistics for employee training sessions and orientations for new hiressupport the hr team with daily activities, as well as special hr projects and initiativesfront desk  receptionist duties, including greeting  directing guests as they arrive at the office, answering the telephone and taking messages  forwarding calls, receivehandle incoming and outgoing mail, performing other clerical  admin duties as needed
requirements and skillsdemonstrated work experience in human resourcesproficiency in microsoft officebilingual englishspanish preferredprofessional attitude and appearancesolid written and verbal communication skillsability to be resourceful and proactive when issues ariseexcellent organizational skillscustomer service attitude is critical
thermal concepts is an equal opportunity employer","human resources, microsoft office, organizational skills, clerical skills, communication, customer service, proactive problem solving, professional attitude, team support, e-verify system, bilingual englishspanish",0
0,junior human resources consultant,"terms of employmentw contract,  months likely permanent conversionthis is a hybrid position. candidates must be comfortable working onsite two days per week in delta, pa  and remotely three days per week. once up to speed, there will be opportunity to work remotely four days per week.
overviewour client is looking for a junior human resources generalist to provide administrative support for an hr team that is responsible for supporting employees working at an atomic power station. this is an excellent opportunity for a recent human resources graduate with minimal experience or a non-human resources graduate with a few years of relevant experience to join a highly reputable organization and receive hands-on training in all things hr. the junior human resources generalist will be responsible for working with human resources managers and leadership to write discipline reports, upload discipline reports in hris, hold coaching discussions with managers, help employees navigate various hr systems, help managers interpret policies and procedures so they are applied correctly, participate in hr-related audits, go to career fairs, and interact with interns and new hires pertaining to onboarding and orientation activities.
required skills  experiencebachelors degree in human resources and some professional experience  or  non-human resources bachelors degree and + year of human resources-related experience.demonstratable experience working within microsoft word, powerpoint, and excel.excellent written and verbal communication skills with an eagerness to interact with and present to a variety of personalities.possess a positive attitude with high standards around work output and ethics.ability to represent themselves and the company professionally.strong attention to detail.preferred skills  experienceexperience leveraging pivot tables andor vlookups in excel.","microsoft word, microsoft powerpoint, microsoft excel, hris, pivot tables, vlookup, communication, attention to detail, professionalism, teamwork, positive attitude, adaptability",0
0,human resources business partner,"compensation range

-

welcome to intepros, a certified woman-owned company specializing in innovative and results-oriented recruiting and staffing solutions. we take immense pride in genuinely understanding what drives and inspires exceptional individuals like you. your success is our priority, and we are dedicated to actively shaping your long-term career journey. at intepros, we believe in comprehensive well-being. you have access to our medical, dental, vision, and mental health programs, ensuring your health and wellness are taken care of. to support your continuous growth, we also provide a , per year education and professional certification fund. diversity and inclusion are cornerstones of our company ethos. intepros is proud to be an equal opportunity employer. we do not discriminate in employment on the basis of race, color, religion, sex, pregnancy, gender identity, national origin, sexual orientation, disability, age, veteran or military status, retaliation, or any other characteristic protected by law. we celebrate the rich tapestry of backgrounds and perspectives that make us stronger as a team. please note that only qualified individuals being considered will be contacted. we appreciate your interest and look forward to potentially embarking on a transformative journey together.

intepros is hiring an hrbp for our premier client in kankakee, il as the industrial relations hrbp americas, you will hold a twofold accountability, it is on one hand a subject matter expert for the countries for the hrbp agile team on industrial relations within your respective region amer, apac, emea and on the other is a senior hrbp member of a given squad in a given geographical area, holding a cohort of clients. the purpose could be summarized as follows

industrial relations

deliver on industrial relations queries across the client by partnering with key stakeholders to provide professional, timely and accurate advice, resolution andor representation.build strong partne...","industrial relations, human resources management, employee relations, project management, data analysis, negotiation, hr operational planning, people development, communication, relationship building, problem solving, collaboration, strategic thinking, leadership, adaptability, influence, empathy, organizational design, compliance, cultural awareness",0
0,human resources solutions manager,"about lumen

lumen connects the world. we are igniting business growth by connecting people, data and applications  quickly, securely, and effortlessly. together, we are building a culture and company from the people up  committed to teamwork, trust and transparency. people power progress.

lumens commitment to workplace inclusion and employee support shines bright. weve made the newsweek  greatest workplaces for diversity list and achieved a perfect score of  on the human rights campaign corporate equality index cei for the fifth consecutive year. plus, were the top employer in the communications and telecom industry, ranking th overall across all industries in the american opportunity index.

were looking for top-tier talent and offer the flexibility you need to thrive and deliver lasting impact. join us as we digitally connect the world and shape the future.

the role

the hr solutions manager is responsible for leading cross-functional project teams to develop and execute innovative talent strategies that drive business impact. as a business-facing internal consultant and talent leader, you will collaborate with business leaders, people strategists, and hr centers of excellence coe. you will drive the execution of assigned projects that contribute to lumens cultural transformation objectives, including diversity, inclusion, and belonging initiatives. you will leverage agile methodologies, tailored to project needs, to ensure the successful execution of assigned projects.

the main responsibilities

lead multiple cross-functional teams to provide actionable insights to assist business leaders and people strategists in identifying high-impact business problems with people-related root causes and develop and execute on strategies to impact organizational performance.lead organizational change management ocm to connect business and people strategies, guiding the organization through change.build trust and credibility through courageous leadership and business acumen...","project management, data analysis, business acumen, employee engagement strategies, leadership, collaboration, communication, problem solving, strategic agility, time management, adaptability, self-motivation, continuous improvement mindset, agile methodologies, organizational change management, risk analysis",0
